city lat lng
Seattle 47.6217 -122.3238
"West Orange" 438.3 -35.78
Richmond 37.5294 -77.4755
"West Orange" 438.3 -35.78
"Virginia Beach" 36.7335 -76.0435
"West Orange" 438.3 -35.78
Washington 38.9047 -77.0163
"West Orange" 438.3 -35.78
Milwaukee 43.0640 -87.9669
"West Orange" 438.3 -35.78
Orlando 28.4801 -81.3448
"West Orange" 438.3 -35.78
Miami 25.7840 -80.2102
"West Orange" 438.3 -35.78
Tampa 27.9937 -82.4454
"West Orange" 438.3 -35.78
Jacksonville 30.3322 -81.6749
"West Orange" 438.3 -35.78
Albuquerque 35.1055 -106.6476
"West Orange" 438.3 -35.78
"Fort Worth" 32.7813 -97.3466
"West Orange" 438.3 -35.78
McAllen 26.2203 -98.2457
"West Orange" 438.3 -35.78
"El Paso" 31.8478 -106.4310
"West Orange" 438.3 -35.78
Dallas 32.7938 -96.7659
"West Orange" 438.3 -35.78
Austin 30.3038 -97.7545
"West Orange" 438.3 -35.78
Houston 29.7871 -95.3936
"West Orange" 438.3 -35.78
"San Antonio" 29.4722 -98.5247
"West Orange" 438.3 -35.78
"New Orleans" 30.0687 -89.9288
"West Orange" 438.3 -35.78
Charlotte 35.2080 -80.8308
"West Orange" 438.3 -35.78
Raleigh 35.8323 -78.6441
"West Orange" 438.3 -35.78
Omaha 41.2634 -96.0453
"West Orange" 438.3 -35.78
Memphis 35.1047 -89.9773
"West Orange" 438.3 -35.78
Nashville 36.1714 -86.7844
"West Orange" 438.3 -35.78
Buffalo 42.9016 -78.8487
"West Orange" 438.3 -35.78
Queens 40.7498 -73.7976
"West Orange" 438.3 -35.78
"New York" 40.6943 -73.9249
"West Orange" 438.3 -35.78
Bronx 40.8501 -73.8662
"West Orange" 438.3 -35.78
Brooklyn 40.6501 -73.9496
"West Orange" 438.3 -35.78
Manhattan 40.7834 -73.9662
"West Orange" 438.3 -35.78
Philadelphia 40.0076 -75.1340
"West Orange" 438.3 -35.78
Pittsburgh 40.4396 -79.9763
"West Orange" 438.3 -35.78
Sacramento 38.5666 -121.4683
"West Orange" 438.3 -35.78
Riverside 33.9382 -117.3949
"West Orange" 438.3 -35.78
"San Francisco" 37.7561 -122.4429
"West Orange" 438.3 -35.78
"San Diego" 32.8312 -117.1225
"West Orange" 438.3 -35.78
"San Jose" 37.3020 -121.8488
"West Orange" 438.3 -35.78
"Los Angeles" 34.1140 -118.4068
"West Orange" 438.3 -35.78
"Las Vegas" 36.2288 -115.2603
"West Orange" 438.3 -35.78
Denver 39.7621 -104.8759
"West Orange" 438.3 -35.78
Chicago 41.8373 -87.6861
"West Orange" 438.3 -35.78
Atlanta 33.7627 -84.4231
"West Orange" 438.3 -35.78
Indianapolis 39.7771 -86.1458
"West Orange" 438.3 -35.78
"Oklahoma City" 35.4677 -97.5138
"West Orange" 438.3 -35.78
Phoenix 33.5722 -112.0891
"West Orange" 438.3 -35.78
Tucson 32.1558 -110.8777
"West Orange" 438.3 -35.78
Bridgeport 41.1909 -73.1958
"West Orange" 438.3 -35.78
Hartford 41.7661 -72.6834
"West Orange" 438.3 -35.78
Baltimore 39.3051 -76.6144
"West Orange" 438.3 -35.78
Boston 42.3189 -71.0838
"West Orange" 438.3 -35.78
Cleveland 41.4766 -81.6805
"West Orange" 438.3 -35.78
Columbus 39.9859 -82.9852
"West Orange" 438.3 -35.78
Cincinnati 39.1412 -84.5060
"West Orange" 438.3 -35.78
"Salt Lake City" 40.7774 -111.9301
"West Orange" 438.3 -35.78
"Saint Louis" 38.6358 -90.2451
"West Orange" 438.3 -35.78
"Kansas City" 39.1239 -94.5541
"West Orange" 438.3 -35.78
Minneapolis 44.9635 -93.2679
"West Orange" 438.3 -35.78
Detroit 42.3834 -83.1024
"West Orange" 438.3 -35.78
Providence 41.8229 -71.4186
"West Orange" 438.3 -35.78
Louisville 38.1662 -85.6488
"West Orange" 438.3 -35.78
Portland 45.5372 -122.6500
"West Orange" 438.3 -35.78
